intensity_in_img,label,movement_order,x,y
1,A1,12,39.9,6.3
2,A2,11,39.9,10.28
3,A3,10,39.9,14.26
4,A4,9,39.9,18.25
5,A5,8,39.9,22.23
6,A6,7,39.9,26.21
7,A7,6,39.9,30.19
8,A8,5,39.9,34.17
9,A9,4,39.9,38.15
10,A10,3,39.9,42.14
11,A11,2,39.9,46.12
12,A12,1,39.9,50.1
13,B1,13,36.13,6.3
14,B2,14,36.13,10.28
15,B3,15,36.13,14.26
16,B4,16,36.13,18.25
17,B5,17,36.13,22.23
18,B6,18,36.13,26.21
19,B7,19,36.13,30.19
20,B8,20,36.13,34.17
21,B9,21,36.13,38.15
22,B10,22,36.13,42.14
23,B11,23,36.13,46.12
24,B12,24,36.13,50.1
25,C1,36,32.36,6.3
26,C2,35,32.36,10.28
27,C3,34,32.36,14.26
28,C4,33,32.36,18.25
29,C5,32,32.36,22.23
30,C6,31,32.36,26.21
31,C7,30,32.36,30.19
32,C8,29,32.36,34.17
33,C9,28,32.36,38.15
34,C10,27,32.36,42.14
35,C11,26,32.36,46.12
36,C12,25,32.36,50.1
37,D1,37,28.59,6.3
38,D2,38,28.59,10.28
39,D3,39,28.59,14.26
40,D4,40,28.59,18.25
41,D5,41,28.59,22.23
42,D6,42,28.59,26.21
43,D7,43,28.59,30.19
44,D8,44,28.59,34.17
45,D9,45,28.59,38.15
46,D10,46,28.59,42.14
47,D11,47,28.59,46.12
48,D12,48,28.59,50.1
49,E1,60,24.81,6.3
50,E2,59,24.81,10.28
51,E3,58,24.81,14.26
52,E4,57,24.81,18.25
53,E5,56,24.81,22.23
54,E6,55,24.81,26.21
55,E7,54,24.81,30.19
56,E8,53,24.81,34.17
57,E9,52,24.81,38.15
58,E10,51,24.81,42.14
59,E11,50,24.81,46.12
60,E12,49,24.81,50.1
61,F1,61,21.04,6.3
62,F2,62,21.04,10.28
63,F3,63,21.04,14.26
64,F4,64,21.04,18.25
65,F5,65,21.04,22.23
66,F6,66,21.04,26.21
67,F7,67,21.04,30.19
68,F8,68,21.04,34.17
69,F9,69,21.04,38.15
70,F10,70,21.04,42.14
71,F11,71,21.04,46.12
72,F12,72,21.04,50.1
73,G1,84,17.27,6.3
74,G2,83,17.27,10.28
75,G3,82,17.27,14.26
76,G4,81,17.27,18.25
77,G5,80,17.27,22.23
78,G6,79,17.27,26.21
79,G7,78,17.27,30.19
80,G8,77,17.27,34.17
81,G9,76,17.27,38.15
82,G10,75,17.27,42.14
83,G11,74,17.27,46.12
84,G12,73,17.27,50.1
85,H1,85,13.5,6.3
86,H2,86,13.5,10.28
87,H3,87,13.5,14.26
88,H4,88,13.5,18.25
89,H5,89,13.5,22.23
90,H6,90,13.5,26.21
91,H7,91,13.5,30.19
92,H8,92,13.5,34.17
93,H9,93,13.5,38.15
94,H10,94,13.5,42.14
95,H11,95,13.5,46.12
96,H12,96,13.5,50.1
